title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; FRAGMINRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for FRAGMIN<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 27981,95-13032,https://www.federalregister.gov/documents/1995/05/26/95-13032/determination-of-regulatory-review-period-for-purposes-of-patent-extension-fragminregister,https://www.govinfo.gov/content/pkg/FR-1995-05-26/pdf/95-13032.pdf,1995-05-26, FRAGMINRegister,,,FRAGMIN<Register>,4303651,Pharmacia Aktiebolag,3555.0,2832.0,723.0,"March 31, 1985",1985-03-31,1994-12-22,IND 25,661
Determination of Regulatory Review Period for Purposes of Patent Extension; NeuroliteRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neurolite<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 27982,95-13033,https://www.federalregister.gov/documents/1995/05/26/95-13033/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neuroliteregister,https://www.govinfo.gov/content/pkg/FR-1995-05-26/pdf/95-13033.pdf,1995-05-26, NeuroliteRegister,,,Neurolite<Register>,5279811,Dupont Merck Pharmaceutical Co.,2595.0,1602.0,993.0,"October 18, 1987",1987-10-18,1994-11-23,NDA 20-256,156
Determination of Regulatory Review Period for Purposes of Patent Extension; RENORMAXRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for RENORMAX<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 36291,95-17345,https://www.federalregister.gov/documents/1995/07/14/95-17345/determination-of-regulatory-review-period-for-purposes-of-patent-extension-renormaxregister,https://www.govinfo.gov/content/pkg/FR-1995-07-14/pdf/95-17345.pdf,1995-07-14, RENORMAXRegister,,,RENORMAX<Register>,4470972,Schering Corp.,3996.0,2901.0,1095.0,"January 22, 1984",1984-01-22,1994-12-29,NDA 20-240,730
Determination of Regulatory Review Period for Purposes of Patent Extension; NAVELBINERegister Injection,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for NAVELBINE<Register> Injection and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 36812,95-17503,https://www.federalregister.gov/documents/1995/07/18/95-17503/determination-of-regulatory-review-period-for-purposes-of-patent-extension-navelbineregister,https://www.govinfo.gov/content/pkg/FR-1995-07-18/pdf/95-17503.pdf,1995-07-18, NAVELBINERegister Injection,,,NAVELBINE<Register> Injection,4307100,Burroughs Wellcome Co.,1621.0,1137.0,484.0,"July 18, 1990",1990-07-18,1994-12-23,NDA 20-388,1067
Determination of Regulatory Review Period for Purposes of Patent Extension; LAMICTALRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for LAMICTAL<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 36813,95-17504,https://www.federalregister.gov/documents/1995/07/18/95-17504/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lamictalregister,https://www.govinfo.gov/content/pkg/FR-1995-07-18/pdf/95-17504.pdf,1995-07-18, LAMICTALRegister,,,LAMICTAL<Register>,4602017,Burroughs Wellcome Co.,3703.0,2693.0,1010.0,"November 8, 1984",1984-04-12,1994-12-27,IND 23,1825
Determination of Regulatory Review Period for Purposes of Patent Extension; NISOCOR,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for NISOCOR and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 39000,95-18687,https://www.federalregister.gov/documents/1995/07/31/95-18687/determination-of-regulatory-review-period-for-purposes-of-patent-extension-nisocor,https://www.govinfo.gov/content/pkg/FR-1995-07-31/pdf/95-18687.pdf,1995-07-31, NISOCOR,,,NISOCOR,4154839,Bayer AG,4965.0,4292.0,673.0,"July 2, 1981",1981-07-02,1995-02-02,IND 33,1377
Determination of Regulatory Review Period for Purposes of Patent Extension; Allergen Patch Test (Thin-layer Rapid Use Epicutaneous (T.R.U.E.) TestSUPTM),Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Allergen Patch Test (Thin-layer Rapid Use Epicutaneous (T.R.U.E.) Test<SUP>TM) and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biologic product.",60 FR 39752,95-19060,https://www.federalregister.gov/documents/1995/08/03/95-19060/determination-of-regulatory-review-period-for-purposes-of-patent-extension-allergen-patch-test,https://www.govinfo.gov/content/pkg/FR-1995-08-03/pdf/95-19060.pdf,1995-08-03, Allergen Patch Test (Thin-layer Rapid Use Epicutaneous (T.R.U.E.) TestSUPTM),,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ExcimedSUPTM UV200LA/SVS APEX Excimer Laser Systems,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Excimed<SUP>TM UV200LA/SVS APEX Excimer Laser Systems and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",60 FR 40183,95-19425,https://www.federalregister.gov/documents/1995/08/07/95-19425/determination-of-regulatory-review-period-for-purposes-of-patent-extension-excimedsuptm-uv200lasvs,https://www.govinfo.gov/content/pkg/FR-1995-08-07/pdf/95-19425.pdf,1995-08-07, ExcimedSUPTM UV200LA/SVS APEX Excimer Laser Systems,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ULTRAVISTRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for ULTRAVIST<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 54694,95-26501,https://www.federalregister.gov/documents/1995/10/25/95-26501/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ultravistregister,https://www.govinfo.gov/content/pkg/FR-1995-10-25/pdf/95-26501.pdf,1995-10-25, ULTRAVISTRegister,,,ULTRAVIST<Register>,4364921,Schering Aktiengesellschaft,2518.0,1353.0,1165.0,"June 19, 1988",1988-06-19,1995-05-10,NDA 20-220,1825
Determination of Regulatory Review Period for Purposes of Patent Extension; CELLCEPTRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CELLCEPT<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 62865,95-29768,https://www.federalregister.gov/documents/1995/12/07/95-29768/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cellceptregister,https://www.govinfo.gov/content/pkg/FR-1995-12-07/pdf/95-29768.pdf,1995-12-07, CELLCEPTRegister,,,CELLCEPT<Register>,4753935,"Syntex, Inc.",2479.0,2304.0,175.0,"July 21, 1988",1988-07-21,1995-05-03,IND 31,824
Determination of Regulatory Review Period for Purposes of Patent Extension; ZINECARDSUPTM,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for ZINECARD<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 62866,95-29769,https://www.federalregister.gov/documents/1995/12/07/95-29769/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zinecardsuptm,https://www.govinfo.gov/content/pkg/FR-1995-12-07/pdf/95-29769.pdf,1995-12-07, ZINECARDSUPTM,,,ZINECARD<SUP>TM,4275063,British Technology Group Ltd.,2748.0,1546.0,1202.0,"November 18, 1987",1987-09-22,1995-05-26,IND 30,1825
